#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
 111000      2.68e+00    3.46e+00      4.62e-02    1.79e-03      9.37e-02    1.21e-01    8.2e-04
 112000      4.39e+00    2.07e+01      2.82e-02    3.17e-01      1.54e-01    7.25e-01    8.2e-04
 113000      2.81e+00    1.73e+00      4.06e-02    2.17e-02      9.84e-02    6.07e-02    8.2e-04
 114000      4.93e+00    2.65e+00      5.08e-02    3.44e-03      1.72e-01    9.27e-02    8.2e-04
 115000      3.98e+00    9.54e+00      3.73e-02    5.84e-02      1.40e-01    3.36e-01    8.1e-04
 116000      5.92e+00    1.30e+01      1.33e-01    1.03e-01      2.08e-01    4.57e-01    8.1e-04
 117000      5.90e+00    3.10e+00      1.55e-01    1.44e-03      2.07e-01    1.09e-01    8.1e-04
 118000      5.90e+00    6.59e+00      3.86e-02    1.02e-01      2.07e-01    2.32e-01    8.1e-04
 119000      7.01e+00    9.25e+00      1.22e-01    2.40e-02      2.46e-01    3.25e-01    8.1e-04
 120000      8.53e+00    4.34e+00      2.08e-01    7.25e-02      3.01e-01    1.53e-01    8.0e-04
 121000      1.32e+01    6.90e-01      1.04e-01    1.73e-02      4.68e-01    2.43e-02    8.0e-04
 122000      4.37e+00    7.95e+00      5.54e-02    4.33e-02      1.54e-01    2.81e-01    8.0e-04
 123000      4.17e+00    7.95e+00      5.37e-02    2.31e-02      1.47e-01    2.81e-01    8.0e-04
 124000      9.44e+00    1.28e+01      7.29e-02    2.84e-01      3.34e-01    4.51e-01    8.0e-04
 125000      1.66e+00    4.75e+00      3.16e-02    1.61e-01      5.90e-02    1.68e-01    7.9e-04
 126000      6.68e+00    3.10e+00      1.72e-01    5.80e-03      2.37e-01    1.10e-01    7.9e-04
 127000      2.96e+00    1.06e+01      3.10e-02    3.04e-02      1.05e-01    3.77e-01    7.9e-04
 128000      1.65e+00    4.04e+00      7.26e-02    1.05e-01      5.79e-02    1.43e-01    7.9e-04
 129000      2.27e+00    4.88e+00      1.22e-02    1.33e-01      8.08e-02    1.73e-01    7.9e-04
 130000      6.73e+00    5.89e+00      9.89e-02    6.17e-02      2.40e-01    2.10e-01    7.9e-04
 131000      7.33e+00    5.74e+00      6.55e-02    3.06e-02      2.61e-01    2.05e-01    7.9e-04
 132000      3.04e+00    4.34e+00      3.53e-02    6.35e-02      1.09e-01    1.55e-01    7.9e-04
 133000      4.39e+00    4.21e+00      4.57e-02    4.07e-02      1.56e-01    1.50e-01    7.9e-04
 134000      3.14e+00    8.07e+00      6.93e-02    3.07e-01      1.11e-01    2.87e-01    7.9e-04
 135000      4.64e+00    5.21e+00      1.47e-01    7.62e-02      1.66e-01    1.87e-01    7.8e-04
 136000      2.82e+00    2.76e+00      5.62e-02    1.52e-02      1.01e-01    9.88e-02    7.8e-04
 137000      5.13e+00    8.44e+00      6.19e-02    5.26e-03      1.84e-01    3.02e-01    7.8e-04
 138000      8.11e+00    1.57e+00      1.19e-01    1.31e-02      2.91e-01    5.63e-02    7.8e-04
 139000      2.30e+00    3.76e+00      4.94e-02    7.68e-02      8.23e-02    1.35e-01    7.8e-04
 140000      3.39e+00    6.43e+00      4.47e-02    2.84e-02      1.22e-01    2.31e-01    7.7e-04
 141000      4.83e+00    1.42e+00      5.30e-02    3.08e-02      1.74e-01    5.09e-02    7.7e-04
 142000      3.24e+00    1.09e+00      5.64e-02    5.37e-03      1.17e-01    3.92e-02    7.7e-04
 143000      4.96e+00    2.03e+00      3.44e-02    6.58e-02      1.78e-01    7.28e-02    7.7e-04
 144000      4.19e+00    9.95e+00      6.05e-02    1.33e-01      1.51e-01    3.58e-01    7.7e-04
 145000      2.73e+00    4.98e+00      2.72e-02    1.56e-02      9.86e-02    1.80e-01    7.6e-04
 146000      3.82e+00    1.93e+00      4.57e-02    1.47e-02      1.38e-01    6.96e-02    7.6e-04
 147000      7.06e+00    4.21e+00      7.95e-02    9.40e-02      2.55e-01    1.52e-01    7.6e-04
 148000      2.05e+00    8.10e+00      3.64e-02    2.23e-01      7.39e-02    2.93e-01    7.6e-04
 149000      4.48e+00    1.87e+00      6.47e-02    1.75e-02      1.62e-01    6.78e-02    7.6e-04
 150000      3.56e+00    1.82e+00      5.79e-02    3.82e-02      1.29e-01    6.57e-02    7.6e-04
 151000      2.97e+00    1.50e+00      4.33e-02    7.60e-03      1.08e-01    5.43e-02    7.6e-04
 152000      8.05e+00    4.29e+00      1.38e-01    2.53e-02      2.92e-01    1.56e-01    7.6e-04
 153000      8.01e+00    7.16e+00      1.85e-01    1.99e-01      2.91e-01    2.60e-01    7.6e-04
 154000      5.60e+00    1.55e+00      5.67e-02    4.61e-02      2.03e-01    5.58e-02    7.6e-04
 155000      3.61e+00    6.68e+00      3.33e-02    7.29e-02      1.32e-01    2.44e-01    7.5e-04
 156000      4.21e+00    7.54e+00      3.29e-02    1.72e-02      1.54e-01    2.75e-01    7.5e-04
 157000      3.45e+00    1.94e+00      2.60e-02    1.55e-02      1.26e-01    7.08e-02    7.5e-04
 158000      5.14e+00    1.31e+00      9.36e-02    1.99e-02      1.88e-01    4.77e-02    7.5e-04
 159000      4.09e+00    4.28e+00      4.90e-02    5.27e-02      1.49e-01    1.56e-01    7.5e-04
 160000      2.43e+00    1.30e+00      2.63e-02    4.56e-03      8.91e-02    4.76e-02    7.4e-04
